Name,CASHWMaxSAT-DisjCom-S6,CASHWMaxSAT-DisjCom-S9,UWrMaxSat-SCIP,EvalMaxSAT,CASHWMaxSAT-DisjCad-S6,CASHWMaxSAT-DisjCad-S9,EvalMaxSAT-SBVA,EvalMaxSAT-SBVA-saveCores,wmaxcdcl-openwbo1200,cgss_default,cgss_abst_cg,wmaxcdcl,Pacose,PacoseMP2,Exact,VBS
spot5_wt-414.wcsp.log.wcnf,2399.9,2700.14,0.2388,594.828,2400.44,2100.14,594.942,591.463,15.7972,0.1393,0.1617,30.5514,2.0938,4.447,FAILED,0.1393
spot5_wt-42.wcsp.dir.wcnf,16.0442,16.0343,0.2552,12.7999,1.4816,1.4812,12.7596,13.1613,1.9866,0.5165,0.5429,95.7664,0.5004,4.699,FAILED,0.2552
spot5_wt-5.wcsp.dir.wcnf,1471.73,1669.88,1519.28,265.575,101.448,101.479,215.671,215.675,1876.92,1186.4,302.907,397.21,16.7498,18.0201,FAILED,16.7498
spot5_wt-507.wcsp.dir.wcnf,112.962,113.009,0.1077,200.554,10.3233,10.2889,189.324,188.904,0.7682,0.0809,0.0911,29.4546,1.2454,6.3926,1.6747,0.0809
spot5_wt-507.wcsp.log.wcnf,2400.22,2700.15,0.1649,591.911,2400.14,2700.35,592.642,598.187,11.7153,0.1359,0.1165,37.908,1.2905,3.8225,FAILED,0.1165
spot5_wt-509.wcsp.dir.wcnf,207.595,223.569,0.1504,209.679,37.3571,37.3159,198.788,198.81,2.22,0.1114,0.1171,56.9652,1.3409,6.436,FAILED,0.1114
spot5_wt-8.wcsp.log.wcnf,0.0066,0.0067,0.0047,0.0088,0.0068,0.0068,0.0089,0.0096,0.0092,0.0011,0.0013,0.0009,0.0029,1.2747,0.0031,0.0009
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_100.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_150.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_200.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_66.wcnf,FAILED,FAILED,FAILED,3001.11,FAILED,FAILED,FAILED,FAILED,2741.68,FAILED,FAILED,2268.94,1365.58,1390.44,FAILED,1365.58
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_68.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_70.wcnf,2425,2428.02,3418.73,1303.26,FAILED,FAILED,1933.79,1280.24,1907.51,FAILED,FAILED,1014.61,499.97,653.557,FAILED,499.97
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_74.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_76.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_80.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_complete_tree_arity2_feature_4_size_10_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_complete_tree_arity2_feature_4_size_11_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_complete_tree_arity2_feature_4_size_6_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2849.66,FAILED,2849.66
synplicate_new-synplicate_complete_tree_arity2_feature_4_size_8_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_complete_tree_arity2_feature_4_size_9_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_complete_tree_arity3_feature_3_size_10_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_complete_tree_arity3_feature_3_size_11_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_complete_tree_arity3_feature_3_size_5_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2782.09,2011.05,FAILED,2011.05
synplicate_new-synplicate_complete_tree_arity3_feature_3_size_8_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_complete_tree_arity3_feature_4_size_10_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_complete_tree_arity3_feature_4_size_12_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_complete_tree_arity3_feature_4_size_5_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_complete_tree_arity3_feature_4_size_6_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_complete_tree_arity5_feature_3_size_7_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_synthetic_dag_run1_14_size_5_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
